1993-94,1993-08-14T05:30:00.000+05:30,Arsenal,Coventry,0,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Aston Villa,QPR,4,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Chelsea,Blackburn,1,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Liverpool,Sheffield Weds,2,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Man City,Leeds,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Newcastle,Tottenham,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Oldham,Ipswich,0,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Sheffield United,Swindon,3,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,Southampton,Everton,0,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-14T05:30:00.000+05:30,West Ham,Wimbledon,0,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-15T05:30:00.000+05:30,Norwich,Man United,0,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-16T05:30:00.000+05:30,Tottenham,Arsenal,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-17T05:30:00.000+05:30,Everton,Man City,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-17T05:30:00.000+05:30,Ipswich,Southampton,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-17T05:30:00.000+05:30,Leeds,West Ham,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-17T05:30:00.000+05:30,Wimbledon,Chelsea,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,Blackburn,Norwich,2,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,Coventry,Newcastle,2,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,Man United,Sheffield United,3,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,QPR,Liverpool,1,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,Sheffield Weds,Aston Villa,0,0,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-18T05:30:00.000+05:30,Swindon,Oldham,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Blackburn,Oldham,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Coventry,West Ham,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Everton,Sheffield United,4,2,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Ipswich,Chelsea,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Leeds,Norwich,0,4,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Man United,Newcastle,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,QPR,Southampton,2,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Sheffield Weds,Arsenal,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Tottenham,Man City,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-21T05:30:00.000+05:30,Wimbledon,Aston Villa,2,2,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-22T05:30:00.000+05:30,Swindon,Liverpool,0,5,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-23T05:30:00.000+05:30,Aston Villa,Man United,1,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-24T05:30:00.000+05:30,Arsenal,Leeds,2,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-24T05:30:00.000+05:30,Man City,Blackburn,0,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-24T05:30:00.000+05:30,Oldham,Coventry,3,3,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-24T05:30:00.000+05:30,Sheffield United,Wimbledon,2,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,Chelsea,QPR,2,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,Liverpool,Tottenham,1,2,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,Newcastle,Everton,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,Norwich,Ipswich,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,Southampton,Swindon,5,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-25T05:30:00.000+05:30,West Ham,Sheffield Weds,2,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-27T05:30:00.000+05:30,Man City,Coventry,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Arsenal,Everton,2,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Aston Villa,Tottenham,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Chelsea,Sheffield Weds,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Liverpool,Leeds,2,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Norwich,Swindon,0,0,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Oldham,Wimbledon,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Sheffield United,Ipswich,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,Southampton,Man United,1,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-28T05:30:00.000+05:30,West Ham,QPR,0,4,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-29T05:30:00.000+05:30,Newcastle,Blackburn,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-30T05:30:00.000+05:30,Leeds,Oldham,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-08-31T05:30:00.000+05:30,Everton,Aston Villa,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-08-31T05:30:00.000+05:30,Ipswich,Newcastle,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-08-31T05:30:00.000+05:30,Wimbledon,Southampton,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Blackburn,Arsenal,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Coventry,Liverpool,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Man United,West Ham,3,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,QPR,Sheffield United,2,1,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Sheffield Weds,Norwich,3,3,D,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Swindon,Man City,1,3,A,"","","","","","","","","","","","","","","",""
1993-94,1993-09-01T05:30:00.000+05:30,Tottenham,Chelsea,1,1,D,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Arsenal,Ipswich,4,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Aston Villa,Coventry,0,0,D,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Chelsea,Man United,1,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Man City,QPR,3,0,H,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Norwich,Wimbledon,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Oldham,Everton,0,1,A,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Sheffield United,Tottenham,2,2,D,"","","","","","","","","","","","","","","",""
1993-94,1993-09-11T05:30:00.000+05:30,Southampton,Leeds,0,2,A,"","","","","","","","","","","","","","","",""
